address,suburb,postcode,sale_price,sale_date,property_type,bedrooms,bathrooms,parking_spaces,land_size_m2,sale_method,property_description,source,listing_url,full_address,geocode_level,latitude,longitude,coordinate_precision,coordinate_source,distance_to_cbd_km,nearest_station,distance_to_station_km
17 Avenue Road,Mosman,2088,5450000,2026-06-19,House,5,3,2.0,NA,Private Treaty,"Circa-1903 Federation residence ""St Arnaud"" combining heritage charm with modern renovation and designer updates.",Domain,https://www.domain.com.au/17-avenue-road-mosman-nsw-2088-2020786599,"17 Avenue Road, Mosman, NSW 2088, Australia",1.0,-33.83581268,151.23389244,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 17 Avenue Road, Mosman, Sydney, New South Wales, 2088",4.314133974194923,Milsons Point Station,2.3273213038405736
5 Central Avenue,Mosman,2088,6399000,2026-06-19,House,5,4,2.0,607.0,Private Treaty,"Newly renovated family residence with modern interiors, landscaped block and resort-style pool.",Domain,https://www.domain.com.au/5-central-avenue-mosman-nsw-2088-2020825168,"5 Central Avenue, Mosman, NSW 2088, Australia",1.0,-33.813734,151.24287348,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 5 Central Avenue, Mosman, Sydney, New South Wales, 2088",6.86341157793786,Victoria Cross Station,4.226654166638278
41 Lang Street,Mosman,2088,3350000,2026-05-01,House,3,2,NA,329.0,Private Treaty,"Federation-style residence with single-level living, ornate ceilings and original timber floors.",Domain,https://www.domain.com.au/41-lang-street-mosman-nsw-2088-2020763446,"41 Lang Street, Mosman, NSW 2088, Australia",1.0,-33.82245428,151.23449141,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 41 Lang Street, Mosman, Sydney, New South Wales, 2088",5.65421213672158,Victoria Cross Station,3.025433397223182
6 Countess Street,Mosman,2088,3525000,2026-05-12,House,3,2,1.0,378.0,Private Treaty,Single-level freestanding home with high ceilings and potential for second-storey development.,Domain,https://www.domain.com.au/6-countess-street-mosman-nsw-2088-2020803030,"6 Countess Street, Mosman, NSW 2088, Australia",1.0,-33.82101929,151.23556681,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 6 Countess Street, Mosman, Sydney, New South Wales, 2088",5.840568477225877,Victoria Cross Station,3.198136993216835
3 Glover Street,Mosman,2088,5600000,2026-04-20,House,5,2,1.0,515.0,Private Treaty,Circa-1915 residence with thoughtful renovations and extensions near Memory Park.,Domain,https://www.domain.com.au/3-glover-street-mosman-nsw-2088-2020742877,"3 Glover Street, Mosman, NSW 2088, Australia",1.0,-33.82862042,151.23680624,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 3 Glover Street, Mosman, Sydney, New South Wales, 2088",5.139392887775534,Victoria Cross Station,2.900075401581398
34 Somerset Street,Mosman,2088,5300000,2026-04-17,House,4,2,2.0,557.0,Private Treaty,Federation-style home with spacious single-level layout and period features.,Domain,https://www.domain.com.au/34-somerset-street-mosman-nsw-2088-2020652926,"34 Somerset Street, Mosman, NSW 2088, Australia",1.0,-33.83352664,151.2371131,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 34 Somerset Street, Mosman, Sydney, New South Wales, 2088",4.688349562961398,Milsons Point Station,2.7117795778580103
130 Cowles Road,Mosman,2088,4200000,2026-04-11,House,5,2,1.0,NA,Auction,Character brick-and-sandstone home fusing original refinement with modern updates.,Domain,https://www.domain.com.au/130-cowles-road-mosman-nsw-2088-2020677840,"130 Cowles Road, Mosman, NSW 2088, Australia",1.0,-33.82137729,151.23871253,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 130 Cowles Road, Mosman, Sydney, New South Wales, 2088",5.931666847371828,Victoria Cross Station,3.41744758999216
44 Musgrave Street,Mosman,2088,3388000,2026-03-31,House,4,3,1.0,240.0,Private Treaty,Luxuriously renovated harbourside home 400m from South Mosman Ferry Wharf.,Domain,https://www.domain.com.au/44-musgrave-street-mosman-nsw-2088-2020348348,"44 Musgrave Street, Mosman, NSW 2088, Australia",1.0,-33.83954913,151.23343051,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 44 Musgrave Street, Mosman, Sydney, New South Wales, 2088",3.942624685589086,Milsons Point Station,2.1169572215231667
27 Bardwell Road,Mosman,2088,3675000,2026-03-30,House,4,2,1.0,259.0,Auction,Renovated family home with classic character details and a stone courtyard.,Domain,https://www.domain.com.au/27-bardwell-road-mosman-nsw-2088-2020640428,"27 Bardwell Road, Mosman, NSW 2088, Australia",1.0,-33.82620832,151.23566345,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 27 Bardwell Road, Mosman, Sydney, New South Wales, 2088",5.3251364153008165,Victoria Cross Station,2.9091610140808832
88 Shadforth Street,Mosman,2088,6850000,2026-03-24,House,4,3,2.0,602.0,Private Treaty,Meticulously renovated c1920s home with level grounds and a swimming pool.,Domain,https://www.domain.com.au/88-shadforth-street-mosman-nsw-2088-2020719690,"88 Shadforth Street, Mosman, NSW 2088, Australia",1.0,-33.83239945,151.23938074,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 88 Shadforth Street, Mosman, Sydney, New South Wales, 2088",4.9090920627408385,Milsons Point Station,2.955866054722238
26 David Street,Mosman,2088,8750000,2026-03-25,House,5,3,2.0,766.4,Private Treaty,Century-old Clifton Gardens residence with harbour views and pool.,Domain,https://www.domain.com.au/26-david-street-mosman-nsw-2088-2020659326,"26 David Street, Mosman, NSW 2088, Australia",1.0,-33.84027244,151.24839472,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 26 David Street, Mosman, Sydney, New South Wales, 2088",4.805741399527992,Milsons Point Station,3.434512495286837
3 Ourimbah Road,Mosman,2088,2900000,2026-03-20,House,3,1,1.0,NA,Private Treaty,Tastefully renovated circa-1912 Federation residence with north-facing garden.,Domain,https://www.domain.com.au/3-ourimbah-road-mosman-nsw-2088-2020659263,"3 Ourimbah Road, Mosman, NSW 2088, Australia",1.0,-33.82232566,151.24173823,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 3 Ourimbah Road, Mosman, Sydney, New South Wales, 2088",5.973246351458422,Victoria Cross Station,3.605845684141276
2a Ryrie Street,Mosman,2088,3700000,2026-03-14,House,3,2,3.0,493.0,Auction,"Full-brick family home on 493 sqm held by one family over 40 years, redevelopment potential.",Domain,https://www.domain.com.au/2a-ryrie-street-mosman-nsw-2088-2020612111,"2a Ryrie Street, Mosman, NSW 2088, Australia",2.0,-33.81651968,151.24181619,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 2A Ryrie Street, Mosman, Sydney, New South Wales, 2088",6.543146716883993,Victoria Cross Station,3.959371472583451
32 Lang Street,Mosman,2088,3900000,2026-03-06,House,5,2,2.0,493.0,Private Treaty,Federation-era single-level home with dual street access and renovation potential.,Domain,https://www.domain.com.au/32-lang-street-mosman-nsw-2088-2020602000,"32 Lang Street, Mosman, NSW 2088, Australia",2.0,-33.82224205,151.23519918,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 32 Lang Street, Mosman, Sydney, New South Wales, 2088",5.7028346750887176,Victoria Cross Station,3.0928349142097264
33 Spofforth Street,Mosman,2088,5075000,2026-03-02,House,4,3,3.0,NA,Private Treaty,Victorian corner residence plus a two-storey self-contained studio.,Domain,https://www.domain.com.au/33-spofforth-street-mosman-nsw-2088-2020080714,"33 Spofforth Street, Mosman, NSW 2088, Australia",2.0,-33.83445054,151.22933168,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 33 Spofforth Street, Mosman, Sydney, New South Wales, 2088",4.243861552911591,Victoria Cross Station,2.0595624072742336
123 Ourimbah Road,Mosman,2088,3550000,2025-12-22,House,4,3,1.0,302.0,Private Treaty,North-facing residence on a 302 sqm landholding with multiple living zones.,Domain,https://www.domain.com.au/123-ourimbah-road-mosman-nsw-2088-2020511697,"123 Ourimbah Road, Mosman, NSW 2088, Australia",2.0,-33.82138479,151.23559413,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 123 Ourimbah Road, Mosman, Sydney, New South Wales, 2088",5.804675451965637,Victoria Cross Station,3.1767650166128054
31/2B Brady Street,Mosman,2088,1925000,2026-06-29,Apartment-Unit,3,2,2.0,178.0,Private Treaty,Single-level Mirvac-built apartment in Bridlewood Gardens with 178sqm on title.,Domain,https://www.domain.com.au/31-2b-brady-street-mosman-nsw-2088-2020825286,"31/2B Brady Street, Mosman, NSW 2088, Australia",2.0,-33.82334339,151.23949255,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 2B Brady Street, Unit 31, Mosman, Sydney, New South Wales, 2088",5.772623768476695,Victoria Cross Station,3.369540159938424
2/81A Glover Street,Mosman,2088,1440000,2026-06-25,Apartment-Unit,2,2,1.0,195.0,Private Treaty,Ground-floor apartment with 195sqm on title and private street entrance.,Domain,https://www.domain.com.au/2-81a-glover-street-mosman-nsw-2088-2020759512,"2/81A Glover Street, Mosman, NSW 2088, Australia",2.0,-33.82801869,151.23217146,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 81A Glover Street, Unit 2, Mosman, Sydney, New South Wales, 2088",5.002446997745759,Victoria Cross Station,2.5312060817986186
8/4 Esther Road,Mosman,2088,1560000,2026-06-19,Apartment-Unit,2,1,1.0,NA,Auction,Top-floor corner apartment in a boutique 8-unit complex near Balmoral Beach.,Domain,https://www.domain.com.au/8-4-esther-road-mosman-nsw-2088-2020925823,"8/4 Esther Road, Mosman, NSW 2088, Australia",2.0,-33.82589061,151.25030722,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 4 Esther Road, Unit 8, Mosman, Sydney, New South Wales, 2088",6.091542838937558,Victoria Cross Station,4.177387252116713
2/63 Muston Street,Mosman,2088,6000000,2026-06-18,Apartment-Unit,4,3,3.0,NA,Private Treaty,Penthouse-style residence occupying entire top floor of a boutique 2-unit block.,Domain,https://www.domain.com.au/2-63-muston-street-mosman-nsw-2088-2020788411,"2/63 Muston Street, Mosman, NSW 2088, Australia",2.0,-33.82846875,151.2457416,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 63 Muston Street, Unit 2, Mosman, Sydney, New South Wales, 2088",5.606905412500171,Milsons Point Station,3.6849078716343038
15/3 Belmont Road,Mosman,2088,1760000,2026-06-12,Apartment-Unit,2,2,1.0,NA,Private Treaty,Mosman Village apartment with light-filled interiors and covered balcony.,Domain,https://www.domain.com.au/15-3-belmont-road-mosman-nsw-2088-2020877037,"15/3 Belmont Road, Mosman, NSW 2088, Australia",2.0,-33.8285509,151.24324178,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 3 Belmont Road, Unit 15, Mosman, Sydney, New South Wales, 2088",5.463974325125964,Victoria Cross Station,3.465576969278526
32B/2 Brady Street,Mosman,2088,2000000,2026-05-19,Apartment-Unit,2,2,2.0,154.0,Private Treaty,"Mirvac-built apartment offering ""village living"" with leafy garden outlooks.",Domain,https://www.domain.com.au/32b-2-brady-street-mosman-nsw-2088-2020747692,"32B/2 Brady Street, Mosman, NSW 2088, Australia",2.0,-33.82334339,151.23949255,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 2 Brady Street, Unit 32B, Mosman, Sydney, New South Wales, 2088",5.772623768476695,Victoria Cross Station,3.369540159938424
7/8 Earl Street,Mosman,2088,3000000,2026-05-08,Apartment-Unit,3,2,2.0,156.0,Private Treaty,Corner apartment with north-east aspect near Bridgepoint shops.,Domain,https://www.domain.com.au/7-8-earl-street-mosman-nsw-2088-2020517834,"7/8 Earl Street, Mosman, NSW 2088, Australia",2.0,-33.82387794,151.23722307,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 8 Earl Street, Unit 7, Mosman, Sydney, New South Wales, 2088",5.621469378401522,Victoria Cross Station,3.1571641988623895
8/2A Brady Street,Mosman,2088,2225000,2026-05-12,Apartment-Unit,3,2,2.0,NA,Private Treaty,North-facing top-floor apartment in Bridlewood Gardens with lift access and double garaging.,Domain,https://www.domain.com.au/8-2a-brady-street-mosman-nsw-2088-2020635166,"8/2A Brady Street, Mosman, NSW 2088, Australia",2.0,-33.82304566,151.23972649,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 2A Brady Street, Unit 8, Mosman, Sydney, New South Wales, 2088",5.812050374962951,Victoria Cross Station,3.4043306360465007
24/27 Warringah Road,Mosman,2088,788000,2026-04-23,Apartment-Unit,1,1,1.0,NA,Private Treaty,Top-floor apartment with elevated views and an open-plan living area.,Domain,https://www.domain.com.au/24-27-warringah-road-mosman-nsw-2088-2020626134,"24/27 Warringah Road, Mosman, NSW 2088, Australia",2.0,-33.8175872,151.2441026,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 27 Warringah Road, Unit 24, Mosman, Sydney, New South Wales, 2088",6.539071936354353,Victoria Cross Station,4.064330082002548
11/1A Queen Street,Mosman,2088,1325000,2026-04-16,Apartment-Unit,2,1,1.0,NA,Private Treaty,Top-floor apartment with northerly aspect and city/harbour views.,Domain,https://www.domain.com.au/11-1a-queen-street-mosman-nsw-2088-2020361141,"11/1A Queen Street, Mosman, NSW 2088, Australia",NA,-33.83447594,151.24486938,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 1A Queen Street, Unit 11, Mosman, Sydney, New South Wales, 2088",5.035470914591009,Milsons Point Station,3.3062456908979003
5/28 Rickard Avenue,Mosman,2088,1950000,2026-04-13,Apartment-Unit,3,2,1.0,NA,Private Treaty,Art Deco apartment in a boutique 5-unit building with heritage charm.,Domain,https://www.domain.com.au/5-28-rickard-avenue-mosman-nsw-2088-2020632617,"5/28 Rickard Avenue, Mosman, NSW 2088, Australia",NA,-33.84041158,151.23923221,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 28 Rickard Avenue, Unit 5, Mosman, Sydney, New South Wales, 2088",4.195732123145189,Milsons Point Station,2.60358449445387
19/5 Parriwi Road,Mosman,2088,3000000,2026-04-10,Apartment-Unit,2,2,1.0,NA,Private Treaty,"""Elevated coastal living"" with panoramic harbour views from Mosman's highest point.",Domain,https://www.domain.com.au/19-5-parriwi-road-mosman-nsw-2088-2020749662,"19/5 Parriwi Road, Mosman, NSW 2088, Australia",NA,-33.81704087,151.24433562,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 5 Parriwi Road, Unit 19, Mosman, Sydney, New South Wales, 2088",6.60256828350003,Victoria Cross Station,4.115957605263096
2/8-10 Bardwell Road,Mosman,2088,1775000,2026-04-07,Apartment-Unit,3,2,2.0,NA,Private Treaty,Sunny security apartment with indoor/outdoor floorplan.,Domain,https://www.domain.com.au/2-8-10-bardwell-road-mosman-nsw-2088-2020622004,"2/8-10 Bardwell Road, Mosman, NSW 2088, Australia",NA,-33.82527437,151.2351664,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.89; matched: 8 Bardwell Road, Unit 2, Mosman, Sydney, New South Wales, 2088",5.397238674105561,Victoria Cross Station,2.9158832768333163
22/40 Raglan Street,Mosman,2088,5025000,2026-04-02,Apartment-Unit,4,3,2.0,NA,Private Treaty,"Classic 1967 penthouse with harbour, city and Opera House panoramas and rooftop terrace.",Domain,https://www.domain.com.au/22-40-raglan-street-mosman-nsw-2088-2020561679,"22/40 Raglan Street, Mosman, NSW 2088, Australia",NA,-33.84046925,151.23400718,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 40 Raglan Street, Unit 22, Mosman, Sydney, New South Wales, 2088",3.889640124018857,Milsons Point Station,2.1358525368075636
